маркер	исключённая группа	причина	пример фраз	оценка объёма
сплочение коллектива	школа, класс, лагерь, ДОУ, армия	педагогический и военный интент, не корпоративный заказчик	сплочение коллектива класса 331; сплочение воинских коллективов 134; игры на сплочение коллектива в школе 80	~1200 из 1451
корпоративные мероприятия	учёт, налогообложение, приказы, отчётность	бухгалтерский и кадровый документооборот	корпоративное мероприятие приказ 35; учет корпоративных мероприятий 34; ндфл корпоративное мероприятие 5	~200 из 2311
корпоративные мероприятия	18+	нерелевантный интент	секс корпоративных мероприятий 10; порно корпоративных мероприятий 9	~25
корпоратив москва	рестораны, лофты, теплоходы, банкетные залы, боулинг, картинг, кейтеринг	другие форматы площадок; конкурентное окружение, но не наша услуга	ресторан для корпоратива москва 245; лофты для корпоратива москва 173; корпоратив на теплоходе в москве 118	~900 из 3482
корпоратив москва	артисты, ведущие, кавер-группы, фотографы, торты	подрядные услуги на мероприятие, не наш профиль	фотограф на корпоратив москва 98; ведущий на корпоратив москва 69; кавер группа москва на корпоратив 44	~280
корпоратив москва	18+	нерелевантный интент	изменяет после корпоратива москва видео 11; секс скрытой корпоратив москва 6	~30
день рождения компании	ОМОНИМ: поздравления с днём рождения фирмы	интент поиска текста поздравления, а не места празднования. Отделено от «отметить день рождения компанией друзей»	с днем рождения компании 1557; поздравление с днем рождения компании 566; с днем рождения руководителю компании 84	~3300 из 4518
день рождения компании	конкурсы, сценарии, застольные игры, тосты	интент самостоятельной организации застолья	конкурсы для компании на день рождения 256; игры для компании на день рождения 150	~700
аренда беседки с мангалом	московские парки и другие районы (Кусково, Сокольники, Серебряный Бор, Борисовские пруды)	городские площадки, не наша территория	аренда беседки с мангалом в москве 663; беседки кусково аренда 54	~1100 из 2635
снегоходные туры	Карелия, Алтай, Хибины	вне территории обслуживания	снегоходные туры в карелии 8; снегоходный тур алтай 5	14
